file,size_MB,arch,block_count,embedding_length,feed_forward_length,head_count,context_length,vocab_size,params_M_calc,quant_detected,error
llama_cpp_canister/models/candidates/gemma3-270m-it-q4_0.gguf,230.4,gemma3,18,640,2048,4,32768,262144,268.1,Q8_0,
llama_cpp_canister/models/candidates/gemma3-270m-it-q8_0.gguf,278.0,gemma3,18,640,2048,4,32768,262144,268.1,Q8_0,
llama_cpp_canister/models/candidates/lfm2.5-350m-q8_0.gguf,429.6,lfm2,16,1024,4608,16,128000,65536,421.6,Q8_0,
llama_cpp_canister/models/candidates/llama-3.2-1b-instruct-q4_0.gguf,737.2,llama,16,2048,8192,32,131072,128256,1235.8,F32,
llama_cpp_canister/models/candidates/mamba-370m-q8_0.gguf,428.7,mamba,48,1024,0,0,1048576,50280,371.5,Q8_0,
llama_cpp_canister/models/candidates/openelm-270m-instruct-q8_0.gguf,276.0,openelm,16,1280,5120,20,2048,32000,271.5,Q8_0,
llama_cpp_canister/models/candidates/qwen3-0.6b-q8_0.gguf,609.8,qwen3,28,1024,3072,16,40960,151936,596.0,Q8_0,
llama_cpp_canister/models/candidates/qwen3.5-0.8b-iq2_xxs.gguf,322.6,qwen35,24,1024,3584,8,262144,248320,752.4,Q5_K,
llama_cpp_canister/models/candidates/qwen3.5-0.8b-q4_0-24L.gguf,343.8,qwen35,12,1024,3584,8,262144,248320,503.3,Q6_K,
llama_cpp_canister/models/candidates/qwen3.5-0.8b-q4_0-30L.gguf,445.1,qwen35,21,1024,3584,8,262144,248320,690.9,Q6_K,
llama_cpp_canister/models/candidates/qwen3.5-0.8b-q4_0.gguf,483.7,qwen35,24,1024,3584,8,262144,248320,752.4,Q6_K,
llama_cpp_canister/models/candidates/qwen3.5-0.8b-q8_0.gguf,774.2,qwen35,24,1024,3584,8,262144,248320,752.4,Q8_0,
llama_cpp_canister/models/candidates/qwen3.5-0.8b-tq2_0-24L.gguf,271.5,qwen35,12,1024,3584,8,262144,248320,503.3,Q6_K,
llama_cpp_canister/models/candidates/qwen3.5-0.8b-tq2_0.gguf,333.6,qwen35,24,1024,3584,8,262144,248320,752.4,Q6_K,
llama_cpp_canister/models/candidates/rwkv7-0.4b-world-q8_0.gguf,478.3,rwkv7,24,1024,4096,0,1048576,65536,450.9,Q8_0,
llama_cpp_canister/models/stories15Mtok4096.gguf,31.9,llama,6,288,768,6,128,4096,8.3,F32,
llama_cpp_canister/models/stories260Ktok512.gguf,1.1,llama,5,64,172,8,128,512,0.3,F32,
